name,location,online_order,book_table,cuisines,rate,costof2plates,type_mode,rest_type,votes
Ruchi Maayaka,Banashankari,No,No,South Indian,3.3,100.0,Delivery,Delivery,8.0
Mohitesh Hut Roll,Banashankari,No,No,others,3.7,150.0,Delivery,Quick Bites,0.0
Sri Basaveshwar Jolada Rotti Oota,Banashankari,No,No,South Indian,3.7,150.0,Delivery,Quick Bites,0.0
Roll Magic Fast Food,Banashankari,No,No,others,3.7,200.0,Delivery,"Takeaway, Delivery",0.0
Foodlieious Multi Cuisine,Banashankari,No,No,North Indian,3.7,100.0,Delivery,Quick Bites,0.0
Thanishka Nati And Karavali Style,Banashankari,No,No,Biryani Fast Food,3.7,400.0,Delivery,Quick Bites,0.0
Swathi Cool Point,Banashankari,No,No,others,3.7,200.0,Delivery,Beverage Shop,0.0
Kaumudis Juoice,Banashankari,No,No,others,3.7,150.0,Delivery,"Beverage Shop, Quick Bites",0.0
Amma Manae,Banashankari,No,No,South Indian,3.7,400.0,Delivery,"Takeaway, Delivery",0.0
Sri Sai Tiffannies,Banashankari,No,No,South Indian Chinese,3.7,150.0,Delivery,Quick Bites,0.0
Hotel Andhra Speices,Banashankari,No,No,Andhra,3.7,250.0,Delivery,Quick Bites,0.0
Sri Murari Family Restaurant,Banashankari,No,No,Biryani,3.7,250.0,Delivery,Quick Bites,0.0
Aramane Donne Biriyani,Banashankari,No,No,South Indian Biryani,3.7,150.0,Delivery,Quick Bites,0.0
Darkolates,Banashankari,No,No,Desserts,3.7,200.0,Delivery,others,0.0
Swaada Healthy Kitchen,Banashankari,No,No,others,3.7,350.0,Delivery,"Quick Bites, Beverage Shop",0.0
Gawdaru Mane Beriyani,Banashankari,No,No,South Indian Biryani,3.7,300.0,Delivery,Quick Bites,0.0
Melting Melodies,Banashankari,No,No,Pizza Fast Food,3.7,100.0,Delivery,"Takeaway, Delivery",0.0
New Indraprasta,Banashankari,No,No,others,3.7,150.0,Delivery,Quick Bites,0.0
Anna Kuteera,Banashankari,Yes,No,South Indian North Indian Chinese,4.0,450.0,Delivery,Casual Dining,771.0
Darbar,Banashankari,No,No,North Indian Chinese,3.0,800.0,Delivery,Bar,98.0
Vijayalakshmi,Basavanagudi,Yes,No,South Indian,3.9,200.0,Delivery,Quick Bites,47.0
Sri Udupi Food Hub,Jayanagar,Yes,Yes,others,4.1,500.0,Delivery,Casual Dining,175.0
Udupi Upahar,Banashankari,Yes,No,others,3.8,300.0,Delivery,Quick Bites,58.0
House Of Kebabs,Basavanagudi,Yes,No,others,3.8,650.0,Delivery,Casual Dining,540.0
Roll N Rock,Kumaraswamy Layout,Yes,No,others,3.8,400.0,Delivery,Quick Bites,124.0
BOX8 Desi Meals,Banashankari,Yes,No,others,4.1,500.0,Delivery,"Takeaway, Delivery",340.0
KFC,Banashankari,Yes,No,Burger Fast Food,3.8,450.0,Delivery,Quick Bites,505.0
Bitez,Banashankari,No,No,Fast Food,3.7,100.0,Delivery,Quick Bites,0.0
Roll Over,Jayanagar,Yes,No,others,4.1,500.0,Delivery,Dessert Parlor,438.0
Imperial Restaurant,others,Yes,No,others,3.7,750.0,Delivery,Casual Dining,264.0
Lassi Shop,Kumaraswamy Layout,Yes,No,others,3.9,150.0,Delivery,Beverage Shop,169.0
The Fortuna,Kumaraswamy Layout,Yes,No,North Indian Chinese,3.0,250.0,Delivery,Quick Bites,67.0
Wahab,Jayanagar,Yes,No,North Indian Mughlai Chinese,3.7,350.0,Delivery,Quick Bites,97.0
Al Diwan Biryanis And More,Basavanagudi,Yes,No,Biryani,3.3,300.0,Delivery,"Takeaway, Delivery",12.0
New Gowdas Fried Chicken,Banashankari,Yes,No,Biryani,3.3,300.0,Delivery,Quick Bites,12.0
Canton,Jayanagar,Yes,No,others,3.6,800.0,Delivery,Casual Dining,195.0
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,Yes,No,others,3.3,300.0,Delivery,others,13.0
The Blue Wagon Kitchen,Jayanagar,Yes,No,Cafe Beverages,4.6,400.0,Delivery,Cafe,228.0
HOT COFFEE,Basavanagudi,Yes,No,South Indian Chinese,4.1,150.0,Delivery,Quick Bites,70.0
Patio 805,Jayanagar,Yes,Yes,others,4.1,1200.0,Delivery,Casual Dining,364.0
Lassi Corner,Basavanagudi,Yes,No,others,3.7,150.0,Delivery,Beverage Shop,107.0
Sagar Deluxe,Kumaraswamy Layout,Yes,No,others,3.2,300.0,Delivery,Quick Bites,167.0
Kanti Sweets,Banashankari,Yes,No,Mithai Street Food,4.0,400.0,Delivery,Sweet Shop,115.0
Vegetalia,Banashankari,Yes,No,Italian Pizza,3.7,400.0,Delivery,"Takeaway, Delivery",27.0
Aramane Donne Biryani,Banashankari,Yes,No,Biryani,3.5,200.0,Delivery,Quick Bites,57.0
Ande Ka Funda,Banashankari,Yes,No,others,3.8,250.0,Delivery,Quick Bites,120.0
Cake Ghar,Basavanagudi,Yes,No,Bakery,3.8,400.0,Delivery,Bakery,15.0
Energy Addaa,Basavanagudi,Yes,No,others,4.2,500.0,Delivery,Quick Bites,64.0
Bhattara Bhojana,Banashankari,Yes,No,South Indian,3.6,150.0,Delivery,Quick Bites,66.0
Tandoori Knight,Banashankari,Yes,No,others,3.0,450.0,Delivery,Quick Bites,290.0
Dev Sagar Food Street,Basavanagudi,Yes,No,Street Food,4.1,200.0,Delivery,Quick Bites,233.0
Mitraa Da Pizza,Kumaraswamy Layout,Yes,No,others,3.8,250.0,Delivery,Quick Bites,115.0
Paradise Premium,Banashankari,Yes,No,others,3.1,700.0,Delivery,Casual Dining,119.0
Grazers,Jayanagar,Yes,Yes,others,3.9,650.0,Delivery,Cafe,291.0
Shakes Theory,Jayanagar,Yes,No,others,4.5,300.0,Delivery,Beverage Shop,155.0
Italy,Kumaraswamy Layout,Yes,No,others,4.1,700.0,Delivery,Casual Dining,305.0
Chilli Flakes,Banashankari,Yes,No,others,3.6,500.0,Delivery,Quick Bites,46.0
Calcutta Cafe,Kumaraswamy Layout,Yes,No,others,3.5,350.0,Delivery,Quick Bites,45.0
Old Mumbai Ice Cream,Banashankari,Yes,No,Ice Cream,3.9,150.0,Delivery,Dessert Parlor,38.0
Donne Biriyani House,Banashankari,Yes,No,others,3.9,400.0,Delivery,Quick Bites,441.0
By 2 Coffee,Basavanagudi,Yes,No,South Indian,3.9,100.0,Delivery,Quick Bites,25.0
Kedias Fun Food,Jayanagar,Yes,No,others,4.3,200.0,Delivery,Quick Bites,630.0
Davangere Butter Dosa Hotel,Kumaraswamy Layout,Yes,No,South Indian,3.8,150.0,Delivery,Quick Bites,25.0
Just Shawarma,Kumaraswamy Layout,Yes,No,Arabian,3.9,300.0,Delivery,Quick Bites,160.0
Mini Punjabi Dhaba,Banashankari,Yes,No,North Indian,4.2,350.0,Delivery,Quick Bites,287.0
Mulabagilu Dosa,Basavanagudi,Yes,No,South Indian,3.6,100.0,Delivery,Quick Bites,11.0
Caf Down The Alley,Banashankari,Yes,No,Cafe,4.1,500.0,Delivery,Cafe,402.0
Gokul Veg,Basavanagudi,Yes,No,others,3.8,750.0,Delivery,Casual Dining,469.0
Olive Era,Kumaraswamy Layout,Yes,No,others,3.3,550.0,Delivery,Casual Dining,511.0
Udupi Ruchi,Banashankari,Yes,No,South Indian North Indian Chinese Street Food,3.9,200.0,Delivery,Quick Bites,57.0
Madhappa Hindu Military Hotel,Banashankari,Yes,No,South Indian,3.4,300.0,Delivery,Quick Bites,14.0
Gama Gama,Banashankari,Yes,No,South Indian,3.9,200.0,Delivery,Quick Bites,264.0
The Vintage Cafe,Banashankari,Yes,No,others,3.0,400.0,Delivery,Cafe,62.0
Pizza Hut,Banashankari,Yes,No,Pizza Fast Food,3.8,750.0,Delivery,Casual Dining,693.0
Mangalore Pearl,Jayanagar,Yes,No,others,3.8,650.0,Delivery,Casual Dining,242.0
Asha Sweets Centre,Basavanagudi,Yes,No,Fast Food,3.6,250.0,Delivery,Dessert Parlor,27.0
Twiststick House,Basavanagudi,Yes,No,others,4.1,500.0,Delivery,Quick Bites,163.0
Cool Corner,Basavanagudi,Yes,No,Street Food Fast Food,4.2,250.0,Delivery,Quick Bites,191.0
Pizza Mane,Banashankari,Yes,No,others,3.5,150.0,Delivery,Quick Bites,32.0
Dal Tadkaa,Banashankari,Yes,No,North Indian,2.5,500.0,Delivery,Casual Dining,247.0
Cafe Coffee Day,others,others,others,others,3.7,400.0,Delivery,others,60.0
Chutney Chang,Jayanagar,Yes,Yes,others,4.1,1500.0,Delivery,Casual Dining,2339.0
Mystique Palate,Jayanagar,Yes,No,others,4.1,300.0,Delivery,Quick Bites,337.0
Thamboola,Banashankari,Yes,No,North Indian Chinese Continental,3.9,800.0,Delivery,Casual Dining,135.0
Castle Rock,others,Yes,No,North Indian Chinese,3.6,700.0,Delivery,Casual Dining,172.0
Vietnamese Kitchen,Banashankari,Yes,No,others,3.6,700.0,Delivery,Casual Dining,105.0
Smacznego,Banashankari,Yes,No,others,4.2,550.0,Delivery,Cafe,504.0
C Corner,Kumaraswamy Layout,Yes,No,Fast Food Street Food,3.2,200.0,Delivery,Quick Bites,36.0
Paratha Merchant,Kumaraswamy Layout,Yes,No,North Indian,3.1,300.0,Delivery,Quick Bites,39.0
North Rasoe,Kumaraswamy Layout,Yes,No,others,3.1,500.0,Delivery,Casual Dining,5.0
Inchara Restaurant,Basavanagudi,Yes,No,North Indian Chinese,3.7,300.0,Delivery,Quick Bites,0.0
Toscano,Jayanagar,Yes,Yes,others,4.3,1300.0,Delivery,Casual Dining,1129.0
Lord Of The Kitchen,Kumaraswamy Layout,Yes,No,North Indian Chinese,3.9,350.0,Delivery,Quick Bites,56.0
Stoned Monkey,Banashankari,Yes,No,Desserts Ice Cream,4.3,500.0,Delivery,Dessert Parlor,860.0
Central Jail Restaurant,Jayanagar,Yes,No,others,3.8,700.0,Delivery,Casual Dining,412.0
Bella,Jayanagar,Yes,Yes,others,3.9,1000.0,Delivery,Casual Dining,142.0
Vennela Andhra Meals,Jayanagar,Yes,No,Andhra,3.0,400.0,Delivery,Quick Bites,23.0
New Prashanth Hotel,Jayanagar,Yes,No,others,3.6,750.0,Delivery,Casual Dining,143.0
The Grillo,Jayanagar,Yes,Yes,others,2.8,500.0,Delivery,Casual Dining,80.0
Re Malnad Nati Style Hotel,JP Nagar,Yes,No,South Indian,3.6,400.0,Delivery,Casual Dining,16.0
Karma Kaapi,Jayanagar,Yes,No,others,4.4,250.0,Delivery,Beverage Shop,181.0
Tiwaris,Jayanagar,Yes,No,North Indian Street Food,3.8,200.0,Delivery,Quick Bites,70.0
Pizza Stop,Basavanagudi,Yes,No,others,3.8,600.0,Delivery,Quick Bites,164.0
Biggies Burger n More,Kumaraswamy Layout,Yes,No,others,3.6,650.0,Delivery,Quick Bites,58.0
